customerID,total_sales,customer_class
824,14841.7,a
2649,14471.49,a
878,10838.7,a
25129,8617.85,a
51517,7774.85,a
27390,7661.9,a
17508,7492.25,a
5299,7092.15,a
2046,7011.5,a
5603,6931.55,a
5065,6560.5,a
54277,6326.1,a
744,6273.38,a
8800,6264.7,a
26972,6196.9,a
22605,5967.55,a
55186,5558.0,a
8831,5535.4,a
46812,5519.2,a
14501,5507.8,a
1801,5503.35,a
19841,5388.65,a
18090,5357.5,a
51941,5345.15,a
73269,5341.2,a
22100,5332.6,a
781,5316.9,a
4269,5310.0,a
3896,5174.4,a
10590,5130.8,a
8430,5099.65,a
38630,5095.3,a
25306,5001.1,a
17361,4922.8,a
4549,4892.2,a
54462,4825.4,a
5671,4804.05,a
21307,4790.6,a
59153,4768.6,a
21417,4742.95,a
49706,4731.6,a
10935,4624.6,a
8573,4589.9,a
8944,4558.2,a
30132,4503.85,a
25107,4482.7,a
21163,4398.6,a
45992,4374.3,a
16106,4364.45,a
2427,4352.1,a
7830,4322.55,a
29977,4299.65,a
1350,4264.7,a
37619,4244.55,a
38078,4216.1,a
505,4188.3,a
25573,4186.7,a
14694,4165.9,a
48170,4152.2,a
70448,4092.05,a
53955,4073.7,a
16113,4049.6,a
49665,4023.6,a
27160,3997.8,a
16955,3989.05,a
40215,3973.75,a
17073,3957.3,a
48280,3935.25,a
44359,3934.4,a
48067,3918.7,a
5852,3907.9,a
12211,3906.35,a
32259,3901.3,a
14357,3898.35,a
37057,3898.15,a
710,3893.75,a
16880,3868.1,a
13839,3843.15,a
69305,3840.85,a
19377,3836.25,a
34225,3828.15,a
41990,3820.55,a
28470,3745.3,a
35673,3711.3,a
19541,3706.4,a
37665,3703.8,a
8264,3699.15,a
45827,3688.1,a
9756,3674.4,a
37642,3659.8,a
73169,3646.7,a
48408,3643.25,a
12863,3635.15,a
25220,3631.55,a
40216,3630.25,a
1643,3628.5,a
53122,3607.5,a
2293,3595.95,a
19069,3592.0,a
1880,3587.05,a
32987,3576.4,a
51467,3570.05,a
5108,3567.4,a
46457,3555.3,a
5458,3549.1,a
31140,3529.9,a
45718,3529.3,a
11369,3512.8,a
7839,3508.2,a
11126,3495.0,a
15369,3493.85,a
26650,3477.05,a
53324,3460.45,a
66495,3446.4,a
22083,3427.0,a
3866,3423.6,a
7032,3421.6,a
21739,3418.45,a
9241,3394.4,a
15733,3373.2,a
15507,3369.9,a
55479,3351.6,a
54821,3351.5,a
39013,3348.6,a
69560,3345.45,a
65391,3342.6,a
4553,3342.5,a
56818,3341.8,a
20569,3331.0,a
23830,3326.15,a
5070,3324.2,a
5698,3316.55,a
1037,3302.1,a
19451,3299.75,a
12037,3297.0,a
55029,3293.3,a
6735,3292.95,a
60604,3286.1,a
43233,3279.1,a
52389,3270.8,a
30070,3257.0,a
54495,3255.2,a
20162,3252.5,a
57906,3252.4,a
69571,3246.95,a
370,3246.5,a
73359,3246.0,a
18800,3240.0,a
7455,3239.7,a
7021,3231.1,a
4462,3229.4,a
50723,3209.2,a
21491,3206.7,a
15463,3206.3,a
38881,3196.0,a
10085,3192.25,a
4657,3189.35,a
14716,3184.5,a
3397,3177.45,a
21728,3168.85,a
47521,3160.65,a
20391,3143.1,a
38998,3139.85,a
20213,3139.6,a
47284,3126.9,a
4451,3125.75,a
13116,3124.15,a
53248,3122.1,a
46278,3122.0,a
15015,3119.45,a
28085,3114.0,a
4390,3108.7,a
23119,3107.95,a
26688,3104.6,a
64695,3088.6,a
12610,3067.65,a
19998,3065.6,a
51922,3065.05,a
30846,3064.3,a
36443,3060.5,a
28710,3057.45,a
60191,3051.95,a
12930,3049.05,a
58729,3047.3,a
7561,3044.4,a
8338,3039.7,a
2048,3032.7,a
15616,3031.75,a
38358,3030.3,a
2079,3028.5,a
16697,3027.55,a
10266,3027.4,a
21996,3021.85,a
13328,3019.75,a
6535,3019.45,a
64018,3018.3,a
27676,3017.1,a
4139,3011.6,a
50817,3008.5,a
55093,3005.1,a
21778,2995.8,a
18570,2992.6,a
55366,2987.8,a
12178,2987.7,a
23795,2981.2,a
27694,2978.75,a
30295,2971.75,a
42202,2966.2,a
8630,2961.8,a
28245,2958.2,a
27959,2956.3,a
10574,2955.3,a
17233,2954.5,a
6481,2942.4,a
38394,2941.35,a
15970,2932.9,a
47834,2931.7,a
11053,2931.6,a
64033,2929.0,a
47921,2925.3,a
28831,2924.75,a
7386,2924.6,a
2247,2924.5,a
58165,2923.85,a
50284,2921.3,a
28494,2918.0,a
94,2909.3,a
55854,2906.1,a
73804,2892.6,a
37688,2887.5,a
43148,2883.5,a
4400,2882.0,a
1246,2881.25,a
54855,2879.8,a
7816,2877.95,a
4841,2876.15,a
47904,2862.4,a
42305,2862.4,a
6705,2851.7,a
2431,2847.95,a
14685,2847.7,a
53151,2840.8,a
27257,2836.6,a
52815,2827.7,a
36373,2826.05,a
62503,2821.45,a
36281,2821.1,a
27710,2820.95,a
10363,2820.6,a
48553,2818.7,a
25021,2817.15,a
17961,2814.4,a
4847,2814.3,a
63103,2814.15,a
7516,2812.8,a
22361,2812.3,a
17881,2811.7,a
17853,2810.8,a
77446,2806.05,a
21837,2805.3,a
34418,2798.9,a
45272,2795.85,a
39308,2793.85,a
16263,2792.15,a
62950,2787.85,a
11425,2781.1,a
22130,2778.7,a
13221,2778.05,a
38057,2777.2,a
49752,2776.8,a
24669,2775.9,a
24831,2775.8,a
55328,2768.7,a
5685,2764.0,a
4208,2763.55,a
2318,2762.25,a
29837,2761.0,a
1851,2757.2,a
38356,2756.2,a
21803,2755.4,a
50010,2755.3,a
8268,2754.1,a
23291,2747.15,a
71847,2742.95,a
19813,2742.5,a
9615,2742.0,a
66,2741.9,a
15166,2740.95,a
14616,2738.65,a
52541,2736.9,a
40064,2732.25,a
14794,2729.15,a
26798,2726.2,a
33943,2725.8,a
7912,2724.75,a
47985,2722.3,a
3150,2721.7,a
30800,2721.55,a
52779,2721.5,a
15301,2718.05,a
54424,2716.6,a
18661,2713.5,a
26809,2710.5,a
9018,2710.4,a
25320,2709.7,a
27792,2706.0,a
22359,2704.65,a
7689,2703.2,a
25864,2702.9,a
14857,2702.3,a
2556,2701.0,a
55901,2693.3,a
50800,2692.5,a
49763,2691.65,a
47774,2691.2,a
5136,2689.55,a
63233,2688.7,a
49849,2686.3,a
12346,2679.5,a
49741,2672.4,a
55531,2670.5,a
1618,2670.45,a
48368,2665.65,a
2313,2659.1,a
58744,2658.6,a
40283,2658.55,a
2814,2658.5,a
4096,2657.2,a
69036,2655.75,a
21775,2655.4,a
15425,2653.7,a
22364,2652.7,a
18306,2651.1,a
57590,2648.9,a
48870,2648.75,a
1193,2647.5,a
44074,2643.3,a
30798,2638.2,a
57219,2638.0,a
598,2636.9,a
5073,2636.65,a
28991,2633.4,a
18213,2626.85,a
72492,2624.9,a
7966,2624.8,a
36269,2623.0,a
17085,2621.7,a
32760,2619.8,a
65796,2612.3,a
36016,2609.1,a
26487,2605.0,a
